Org|OrgSector|RverMonthYear|RverReviewer|RverPosition|RverLoc|RverRecom|RvReviewAbout|RvScore|RvComment
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|April 2020|4|Führungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Forschung / Entwicklung bei Fresenius Medical Care in Schweinfurt gearbeitet.|Empfohlen|Corona3|NA|N/A
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|April 2020|4|Führungskraft / Management|Hat zum Zeitpunkt der Bewertung im Bereich Forschung / Entwicklung bei Fresenius Medical Care in Schweinfurt gearbeitet.|Empfohlen|Work-Life-Balance|3|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|March 2020|5|Ex-Praktikant/in|Hat im Bereich Marketing / Produktmanagement bei Fresenius Medical Care in Bad Homburg gearbeitet.|Empfohlen|Overall|4.5|A great experience to start my working-life in Germany
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|March 2020|5|Ex-Praktikant/in|Hat im Bereich Marketing / Produktmanagement bei Fresenius Medical Care in Bad Homburg gearbeitet.|Empfohlen|Arbeitsatmosphäre|5|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|March 2020|5|Ex-Praktikant/in|Hat im Bereich Marketing / Produktmanagement bei Fresenius Medical Care in Bad Homburg gearbeitet.|Empfohlen|Kollegenzusammenhalt|5|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|March 2020|5|Ex-Praktikant/in|Hat im Bereich Marketing / Produktmanagement bei Fresenius Medical Care in Bad Homburg gearbeitet.|Empfohlen|Gleichberechtigung|4|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|March 2020|5|Ex-Praktikant/in|Hat im Bereich Marketing / Produktmanagement bei Fresenius Medical Care in Bad Homburg gearbeitet.|Empfohlen|Umgang mit älteren Kollegen|5|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|March 2020|5|Ex-Praktikant/in|Hat im Bereich Marketing / Produktmanagement bei Fresenius Medical Care in Bad Homburg gearbeitet.|Empfohlen|Umwelt-/Sozialbewusstsein|4|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|March 2020|5|Ex-Praktikant/in|Hat im Bereich Marketing / Produktmanagement bei Fresenius Medical Care in Bad Homburg gearbeitet.|Empfohlen|Corona1|NA|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|March 2020|5|Ex-Praktikant/in|Hat im Bereich Marketing / Produktmanagement bei Fresenius Medical Care in Bad Homburg gearbeitet.|Empfohlen|Corona2|NA|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|March 2020|5|Ex-Praktikant/in|Hat im Bereich Marketing / Produktmanagement bei Fresenius Medical Care in Bad Homburg gearbeitet.|Empfohlen|Corona3|NA|I finished my pratikum/ working student period in FMC before the beginning of this crisis
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|March 2020|5|Ex-Praktikant/in|Hat im Bereich Marketing / Produktmanagement bei Fresenius Medical Care in Bad Homburg gearbeitet.|Empfohlen|Work-Life-Balance|5|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|6|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Fresenius Medical Care in Bad Homurg gearbeitet.|Empfohlen|Overall|2.9|Gute Produkte & Service, aber zu wenig Innovation & Verbesserung & Koordination, Ziele zu kurzfristig
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|6|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Fresenius Medical Care in Bad Homurg gearbeitet.|Empfohlen|Arbeitsatmosphäre|2|zu viele Projekte & Tätigkeiten
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|6|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Fresenius Medical Care in Bad Homurg gearbeitet.|Empfohlen|Kollegenzusammenhalt|5|Innerhalb der Gruppe große Hilfsbereitschaft & viel Verständnis aufgrund des enormen äußeren Drucks
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|6|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Fresenius Medical Care in Bad Homurg gearbeitet.|Empfohlen|Gleichberechtigung|4|Bis zu den mittleren Führungsebenen vorhanden, aber darüber nicht
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|6|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Fresenius Medical Care in Bad Homurg gearbeitet.|Empfohlen|Umgang mit älteren Kollegen|3|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|6|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Fresenius Medical Care in Bad Homurg gearbeitet.|Empfohlen|Umwelt-/Sozialbewusstsein|2|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|6|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Fresenius Medical Care in Bad Homurg gearbeitet.|Empfohlen|Corona1|NA|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|6|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Fresenius Medical Care in Bad Homurg gearbeitet.|Empfohlen|Corona2|NA|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|6|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Fresenius Medical Care in Bad Homurg gearbeitet.|Empfohlen|Corona3|NA|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|6|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Fresenius Medical Care in Bad Homurg gearbeitet.|Empfohlen|Work-Life-Balance|1|schwierig, da viele Projekte & dringende Arbeiten
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|7|Ex-Angestellte/r oder Arbeiter/in|Hat bei Fresenius Medical Care in Schweinfurt gearbeitet.|Nicht empfohlen|Overall|2.8|Wenn die Unternehmenswerte nicht eingehalten werden, können das selbst die guten Benefits nicht ausgleichen
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|7|Ex-Angestellte/r oder Arbeiter/in|Hat bei Fresenius Medical Care in Schweinfurt gearbeitet.|Nicht empfohlen|Arbeitsatmosphäre|2|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|February 2020|7|Ex-Angestellte/r oder Arbeiter/in|Hat bei Fresenius Medical Care in Schweinfurt gearbeitet.|Nicht empfohlen|Kollegenzusammenhalt|3|
