Sr. No,Unternehmen,Index,URL Pattern,Industry Type,Kununu Webpage,Verified,,,,,,,,,,,,,,,,,,,
89,Varta AG,Mdax,varta1,Elektro/Elektronik,,Yes,,,,,,,,,,,,,,,,,,,
90,Zalando SE,Mdax,zalando,Internet,,Yes,,,,,,,,,,,,,,,,,,,
91,1&1 Drillisch AG,Sdax,11-internet,Internet,,Yes,,,,,,,,,,,,,,,,,,,
92,ADO Properties S.A.,Sdax,,,,No,,,,,,,,,,,,,,,,,,,
93,ADVA Optical Networking SE,Sdax,adva-optical-networking-se4,Telekommunikation,,Yes,,,,,,,,,,,,,,,,,,,
94,AIXTRON SE,Sdax,aixtron,Maschinenbau,,Yes,,,,,,,,,,,,,,,,,,,
95,Amadeus FiRe AG,Sdax,amadeus-fire,Personalwesen & -beschaffung,,Yes,,,,,,,,,,,,,,,,,,,
96,BayWa Aktiengesellschaft,Sdax,baywa,Handel,,Yes,,,,,,,,,,,,,,,,,,,
97,Befesa S.A.,Sdax,,,,No,,,,,,,,,,,,,,,,,,,
98,Bertrandt Aktiengesellschaft,Sdax,bertrandtgroup,Automobil,,Yes,,,,,,,,,,,,,,,,,,,
99,Bilfinger SE,Sdax,bilfinger, Industrie,,Yes,,,,,,,,,,,,,,,,,,,
100,Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,Sdax,borussia-dortmund-auf-aktien,Sport/Beauty,,Yes,,,,,,,,,,,,,,,,,,,
101,Ceconomy AG,Sdax,blue-c-new-economy,Beratung/Consulting,,Yes,,,,,,,,,,,,,,,,,,,
102,CEWE Stiftung & Co. KGaA,Sdax,cewestiftung,Druck/Verpackung,,Yes,,,,,,,,,,,,,,,,,,,
103,CORESTATE Capital Holding S.A.,Sdax,corestate-capital-advisors1,Beratung/Consulting,https://www.kununu.com/de/corestate-capital-advisors1,Yes,,,,,,,,,,,,,,,,,,,
104,Dermapharm Holding SE,Sdax,dermapharm,Medizin/Pharma,,Yes,,,,,,,,,,,,,,,,,,,
105,DEUTZ Aktiengesellschaft,Sdax,dtz-waren1,Industrie,,Yes,,,,,,,,,,,,,,,,,,,
